MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
16,20.4,10,26.8,69,1019,18.4,yes
13.4,17.2,10,48,49,1022.5,15.2,no
11.5,15.2,20,35.6,39,1025.9,13.2,no
11.3,16.5,40,25.2,48,1026.4,13.9,no
13.8,18.2,30,29,62,1025.4,16.2,no
17,18.6,40,19,75,1022.5,17.6,yes
17.1,21.1,50,22.5,82,1021.3,19.4,yes
18.7,20.6,60,27.3,87,1020.3,19.9,yes
19.8,22.3,40,15,91,1017.8,21.1,yes
21.1,24.7,40,9.4,91,1016.8,22.3,yes
16.1,21.4,10,27.6,75,1020.4,18.2,yes
16.9,19.7,30,21.6,74,1020.6,17.9,no
16.9,18.8,30,18.4,84,1022.7,17.7,yes
16.3,18.6,20,25.9,75,1026.6,17.3,yes
16.4,18.9,70,33.4,75,1025.9,17.7,yes
15.2,19.2,20,20.9,78,1025.3,17.3,yes
15.5,20.5,20,23.3,74,1026.4,17.8,no
